event,event_datetime,market_group,market,selection,player_number,player_name,line,option,odds
Canada v Bosnia-Herzegovina,13 Jun 06:00,Goalscorers,Goalscorers,Haris Tabakovic,23,Haris Tabakovic,Anytime,Anytime,4.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Goalscorers,Goalscorers,Ermedin Demirovic,10,Ermedin Demirovic,Anytime,Anytime,4.75
Canada v Bosnia-Herzegovina,13 Jun 06:00,Goalscorers,Goalscorers,Ismael Kone,8,Ismael Kone,Anytime,Anytime,4.75
Canada v Bosnia-Herzegovina,13 Jun 06:00,Goalscorers,Goalscorers,Jovo Lukic,25,Jovo Lukic,Anytime,Anytime,4.75
Canada v Bosnia-Herzegovina,13 Jun 06:00,Goalscorers,Goalscorers,Tajon Buchanan,17,Tajon Buchanan,Anytime,Anytime,4.75
Canada v Bosnia-Herzegovina,13 Jun 06:00,Goalscorers,Goalscorers,Jonathan Osorio,21,Jonathan Osorio,Anytime,Anytime,5.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Goalscorers,Goalscorers,Liam Millar,11,Liam Millar,Anytime,Anytime,5.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Goalscorers,Goalscorers,Samed Bazdar,9,Samed Bazdar,Anytime,Anytime,5.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Goalscorers,Goalscorers,Kerim Alajbegovic,19,Kerim Alajbegovic,Anytime,Anytime,5.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Goalscorers,Goalscorers,Nathan-Dylan Saliba,25,Nathan-Dylan Saliba,Anytime,Anytime,5.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Goalscorers,Goalscorers,Ali Ahmed,20,Ali Ahmed,Anytime,Anytime,6.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Goalscorers,Goalscorers,Ermin Mahmic,26,Ermin Mahmic,Anytime,Anytime,6.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Goalscorers,Goalscorers,Esmir Bajraktarevic,20,Esmir Bajraktarevic,Anytime,Anytime,6.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Goalscorers,Goalscorers,Mathieu Choiniere,6,Mathieu Choiniere,Anytime,Anytime,6.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Goalscorers,Goalscorers,Stephen Eustaquio,7,Stephen Eustaquio,Anytime,Anytime,6.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Goalscorers,Goalscorers,Armin Gigovic,8,Armin Gigovic,Anytime,Anytime,8.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Goalscorers,Goalscorers,Amar Memic,15,Amar Memic,Anytime,Anytime,9.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Goalscorers,Goalscorers,Benjamin Tahirovic,6,Benjamin Tahirovic,Anytime,Anytime,9.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Goalscorers,Goalscorers,Ivan Basic,13,Ivan Basic,Anytime,Anytime,10.00
